Fecha,Tiempo en la página,Muestreo de carga de página,Promedio de tiempo en la página,Tiempo de búsqueda de dominio (ms),Promedio de páginas vistas por búsqueda,Tiempo de descarga de la página (ms),Tiempo medio de descarga de la página (s),Tiempo de redirección (ms),Tiempo medio de redirección (s),Tiempo de conexión de servidor (ms),Tiempo medio de conexión de servidor (es),Tiempo medio de respuesta de servidor (es),Tiempo medio de respuesta de servidor (es),Muestra de métricas de velocidad,Tiempo de interacción de documento (milésimas de segundo),Tiempo medio de interacción de documento (segundos),Tiempo de carga de contenido de documento (milésimas de segundo),Muestra de métricas de latencia de DOM
20180104,347765,189,69.19319538400319,1234,null,19761,0.10455555555555555,13767,0.07284126984126983,5024,0.026582010582010582,1.4925978835978835,1.4925978835978835,189,504940,2.6716402116402116,505023,189
20180105,364456,30,72.12665743122898,730,null,7579,0.2526333333333333,7118,0.23726666666666668,501,0.0167,1.5733,1.5733,30,130068,4.3356,130075,30
20180106,269726,25,71.75472200053206,286,null,2746,0.10984000000000001,5435,0.2174,844,0.03376,1.5298,1.5298,25,65873,2.63492,65877,25
20180107,173905,24,54.108587429993776,187,null,7290,0.30375,8789,0.3662083333333333,844,0.035166666666666666,1.8515,1.8515,24,80328,3.347,80332,24
20180108,257129,30,63.77207341269841,253,null,5500,0.18333333333333335,6172,0.20573333333333332,2503,0.08343333333333333,1.0464333333333333,1.0464333333333333,30,93359,3.1119666666666665,93361,30
20180109,424429,32,76.66708815028902,155,null,3633,0.11353125,7500,0.234375,1900,0.059375,1.2964375,1.2964375,32,80620,2.519375,80622,32
20180110,406155,17,73.04946043165468,305,null,1424,0.08376470588235294,7355,0.4326470588235294,1013,0.05958823529411764,2.077470588235294,2.077470588235294,17,62435,3.672647058823529,62441,17
20180111,374895,11,64.71517348524081,218,null,510,0.046363636363636364,3929,0.3571818181818182,434,0.03945454545454545,1.0403636363636362,1.0403636363636362,11,26069,2.369909090909091,26070,11
20180112,409537,89,72.30526129943503,6848,null,5888,0.06615730337078653,36394,0.40892134831460675,11054,0.12420224719101124,0.9908089887640449,0.9908089887640449,89,207649,2.3331348314606744,207649,89
20180113,337717,26,68.25323362974939,187,null,2215,0.08519230769230769,10750,0.41346153846153844,703,0.02703846153846154,1.4056538461538461,1.4056538461538461,26,86173,3.3143461538461536,86174,26
20180114,273420,62,62.69662921348315,1423,null,10540,0.17,7293,0.11762903225806451,3385,0.054596774193548386,1.6420806451612902,1.6420806451612902,62,170717,2.7535,170722,62
20180115,571704,11,80.86336633663366,213,null,667,0.060636363636363634,4733,0.43027272727272725,1032,0.09381818181818181,1.5446363636363638,1.5446363636363638,11,34812,3.1647272727272724,34813,11
20180116,565877,34,83.99539854534659,1030,null,4666,0.13723529411764707,20407,0.6002058823529413,682,0.020058823529411764,1.0999117647058825,1.0999117647058825,34,123661,3.6370882352941174,123662,34
20180117,551121,37,81.47856298048492,151,null,1827,0.04937837837837838,5493,0.14845945945945946,631,0.017054054054054052,1.1050540540540539,1.1050540540540539,37,92492,2.499783783783784,92498,37
20180118,529355,14,89.22214731164672,34923,null,870,0.062142857142857146,1833,0.13092857142857142,617,0.04407142857142857,1.3015,1.3015,14,71588,5.113428571428572,71589,14
20180119,577207,50,84.10418184467434,499,null,4205,0.0841,7398,0.14796,2061,0.04122,1.5910199999999999,1.5910199999999999,50,129877,2.59754,129877,50
20180120,388946,91,69.80366116295764,473,null,15039,0.16526373626373625,17683,0.19431868131868132,4280,0.047032967032967034,1.5527362637362636,1.5527362637362636,91,317686,3.491054945054945,317697,91
20180121,347010,23,61.64682892165571,455,null,2336,0.10156521739130435,11636,0.5059130434782608,979,0.04256521739130435,1.4645652173913042,1.4645652173913042,23,87066,3.785478260869565,87070,23
20180122,745744,127,81.2977215741851,105,null,20524,0.16160629921259842,17608,0.1386456692913386,1781,0.014023622047244095,2.823448818897638,2.823448818897638,127,534545,4.209015748031496,534657,127
20180123,637786,80,92.31234621508177,1015,null,8959,0.1119875,15985,0.1998125,6546,0.08182500000000001,1.3510375,1.3510375,80,185381,2.3172625,185388,80
20180124,552022,73,89.8034813730275,373,null,8295,0.11363013698630137,14468,0.1981917808219178,1271,0.017410958904109586,1.5525616438356165,1.5525616438356165,73,218910,2.9987671232876716,220631,73
20180125,724784,102,86.75891788364855,2523,null,10082,0.09884313725490196,4641,0.0455,2681,0.026284313725490196,2.141735294117647,2.141735294117647,102,364714,3.575627450980392,364728,102
20180126,639684,51,93.15334207077326,313,null,9153,0.1794705882352941,18025,0.35343137254901963,2583,0.05064705882352941,1.8302941176470588,1.8302941176470588,51,223908,4.39035294117647,223920,51
20180127,518203,35,83.23209123032444,534,null,4089,0.11682857142857142,20281,0.5794571428571429,1237,0.03534285714285714,1.4935714285714288,1.4935714285714288,35,204532,5.843771428571428,204533,35
20180128,393450,70,60.11459129106188,544,null,6145,0.08778571428571429,6008,0.08582857142857142,3153,0.04504285714285714,1.8421714285714286,1.8421714285714286,70,219080,3.129714285714286,222459,70
20180129,809516,233,84.36852527357999,2097,null,12934,0.055510729613733906,24265,0.10414163090128756,1767,0.0075836909871244635,1.534776824034335,1.534776824034335,233,556055,2.386502145922747,556112,233
20180130,802277,27,85.23980025499363,63,null,2539,0.09403703703703704,4639,0.1718148148148148,1439,0.0532962962962963,1.067925925925926,1.067925925925926,27,170291,6.307074074074074,170557,27
20180131,763950,111,88.23631323631324,1007,null,16678,0.15025225225225225,23216,0.20915315315315314,1074,0.009675675675675675,1.7318648648648647,1.7318648648648647,111,343853,3.097774774774775,343877,111
20180201,584093,65,74.97022205108459,425,null,6132,0.09433846153846154,28621,0.44032307692307693,1197,0.018415384615384615,1.7510923076923077,1.7510923076923077,65,195280,3.0043076923076923,195287,65
20180202,556659,34,93.77678571428571,521,null,5091,0.14973529411764708,16334,0.48041176470588237,4346,0.1278235294117647,1.0640294117647058,1.0640294117647058,34,202919,5.968205882352941,202924,34
20180203,406777,38,86.19983047255775,1883,null,7049,0.1855,21285,0.5601315789473684,1619,0.04260526315789474,1.3783947368421052,1.3783947368421052,38,149091,3.9234473684210527,149093,38
20180204,379672,92,65.3817806096091,992,null,10419,0.11325,33981,0.36935869565217394,1743,0.018945652173913044,1.5236630434782608,1.5236630434782608,92,302886,3.2922391304347824,302907,92
20180205,592098,54,83.9260099220411,16462,null,14863,0.2752407407407408,20873,0.386537037037037,16788,0.31088888888888894,1.9427407407407407,1.9427407407407407,54,316385,5.858981481481481,316400,54
20180206,571489,36,90.16866519406753,402,null,8001,0.22225,22613,0.6281388888888889,2364,0.06566666666666666,1.5164444444444443,1.5164444444444443,36,183507,5.097416666666667,183513,36
20180207,539526,68,90.19157472417251,1403,null,7829,0.11513235294117646,29141,0.42854411764705885,1575,0.02316176470588235,1.2891911764705883,1.2891911764705883,68,256843,3.7771029411764707,256851,68
20180208,524993,50,95.47063102382252,76,null,6873,0.13746,26076,0.52152,1589,0.03178,1.86554,1.86554,50,156482,3.1296399999999998,156489,50
20180209,462714,26,90.26804525946157,340,null,26338,1.013,30855,1.1867307692307694,8029,0.30880769230769234,1.958576923076923,1.958576923076923,26,170811,6.569653846153845,170815,26
20180210,307949,34,84.95144827586206,544,null,20253,0.5956764705882353,16907,0.49726470588235294,3199,0.09408823529411765,1.915764705882353,1.915764705882353,34,183363,5.393029411764706,188484,34
20180211,249311,40,73.47804302976716,2450,null,41719,1.042975,19021,0.475525,9573,0.23932499999999998,1.72325,1.72325,40,199958,4.99895,199965,40
20180212,533545,34,94.21596327035141,288,null,20076,0.5904705882352942,29536,0.8687058823529412,4372,0.12858823529411764,1.7087058823529413,1.7087058823529413,34,166987,4.911382352941176,166992,34
20180213,543950,22,78.35638144626908,101,null,4682,0.21281818181818182,11837,0.5380454545454545,1935,0.08795454545454545,1.7628636363636363,1.7628636363636363,22,137543,6.251954545454545,137546,22
20180214,477051,25,94.57791435368755,114,null,8443,0.33772,22652,0.90608,12154,0.48616000000000004,2.1983200000000003,2.1983200000000003,25,157942,6.31768,157945,25
20180215,475399,43,92.88765142633841,227,null,33440,0.7776744186046511,39013,0.9072790697674419,10066,0.23409302325581396,2.055418604651163,2.055418604651163,43,239368,5.566697674418605,239987,43
20180216,448411,13,102.14373576309795,924,null,3959,0.30453846153846154,813,0.06253846153846154,2302,0.17707692307692308,1.5556153846153846,1.5556153846153846,13,58377,4.490538461538462,58612,13
