Fecha,Red de distribución de anuncios,Tipo de concordancia de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS)
20180523,Google Search,Broad match,521,0,127429,244585.41266794625,677.8138297872341,0.36084452975047987,0,0,0,0,0
20180523,Search partners,Exact match,50,0,570,11400,190,0.06,0,0,0,0,0
20180523,Google Search,Phrase match,1121,0,222978,198909.90187332738,556.0548628428928,0.3577163247100803,0,0,0,0,0
20180523,Search partners,Phrase match,89,0,8550,96067.41573033709,316.6666666666667,0.30337078651685395,0,0,0,0,0
20180523,Search partners,Broad match,18,0,2323,129055.55555555558,387.1666666666667,0.3333333333333333,0,0,0,0,0
20180523,Google Search,Exact match,789,0,68693,87063.37135614702,392.5314285714286,0.2217997465145754,0,0,0,0,0
20180524,Google Search,Broad match,571,0,156665,274369.527145359,718.6467889908256,0.38178633975481613,0,0,0,0,0
20180524,Search partners,Phrase match,78,0,8346,107000,321,0.3333333333333333,0,0,0,0,0
20180524,Google Search,Phrase match,1097,0,211139,192469.46216955336,523.9181141439205,0.3673655423883318,0,0,0,0,0
20180524,Google Search,Exact match,691,0,60374,87371.92474674385,399.82781456953643,0.21852387843704776,0,0,0,0,0
20180524,Search partners,Broad match,28,0,5990,213928.57142857142,544.5454545454545,0.39285714285714285,0,0,0,0,0
20180524,Search partners,Exact match,50,0,667,13340,222.33333333333334,0.06,0,0,0,0,0
20180525,Google Search,Broad match,521,0,120011,230347.40882917464,634.978835978836,0.362763915547025,0,0,0,0,0
20180525,Google Search,Exact match,781,0,53626,68663.25224071703,285.24468085106383,0.2407170294494238,0,0,0,0,0
20180525,Google Search,Phrase match,1202,0,200114,166484.19301164724,473.08274231678485,0.3519134775374376,0,0,0,0,0
20180525,Search partners,Exact match,46,0,275,5978.260869565217,275,0.021739130434782608,0,0,0,0,0
20180525,Search partners,Broad match,16,0,1979,123687.5,329.8333333333333,0.375,0,0,0,0,0
20180525,Search partners,Phrase match,78,0,8963,114910.2564102564,320.1071428571429,0.358974358974359,0,0,0,0,0
20180526,Search partners,Exact match,30,0,423,14100,211.5,0.06666666666666667,0,0,0,0,0
20180526,Search partners,Broad match,21,0,2113,100619.0476190476,528.25,0.19047619047619047,0,0,0,0,0
