Fecha,Tipo de usuario,Número de sesiones,Días desde la última sesión,Usuarios,% Δ,Usuarios nuevos,% Δ,Sesiones,% Δ,% de nuevas sesiones,% Δ
20200812,Returning Visitor,32,8,1,,0,,1,,0,
20200822,Returning Visitor,245,0,1,,0,,1,,0,
20200818,Returning Visitor,257,0,1,,0,,1,,0,
20200819,Returning Visitor,7,44,1,,0,,1,,0,
20200819,Returning Visitor,36,0,1,,0,,1,,0,
20200826,Returning Visitor,79,0,1,,0,,1,,0,
20200826,Returning Visitor,2,168,1,,0,,1,,0,
20200804,Returning Visitor,22,3,1,,0,,1,,0,
20200819,Returning Visitor,110,6,1,,0,,1,,0,
20200818,Returning Visitor,17,13,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200819,Returning Visitor,3,19,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200808,Returning Visitor,43,1,1,,0,,1,,0,
20200809,Returning Visitor,6,21,1,,0,,1,,0,
20200826,Returning Visitor,49,2,1,,0,,1,,0,
20200810,Returning Visitor,379,0,1,,0,,1,,0,
20200818,Returning Visitor,4,23,1,,0,,1,,0,
20200828,Returning Visitor,6,13,1,,0,,1,,0,
20200808,Returning Visitor,141,0,1,,0,,1,,0,
20200807,Returning Visitor,30,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200818,Returning Visitor,6,25,1,,0,,1,,0,
20200825,Returning Visitor,137,0,1,,0,,1,,0,
20200828,Returning Visitor,130,1,1,,0,,1,,0,
20200819,Returning Visitor,9,18,1,,0,,1,,0,
20200809,Returning Visitor,4,25,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200806,Returning Visitor,147,0,1,,0,,1,,0,
20200827,Returning Visitor,654,0,1,,0,,1,,0,
20200822,Returning Visitor,6,42,1,,0,,1,,0,
20200806,Returning Visitor,3,33,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200815,Returning Visitor,163,0,1,,0,,1,,0,
20200821,Returning Visitor,98,1,1,,0,,1,,0,
20200804,Returning Visitor,6,174,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200810,Returning Visitor,3,41,1,,0,,1,,0,
20200810,Returning Visitor,27,16,1,,0,,1,,0,
20200813,Returning Visitor,5,35,1,,0,,1,,0,
20200831,Returning Visitor,36,6,1,,0,,1,,0,
20200804,Returning Visitor,21,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,14,4,1,,0,,1,,0,
20200831,Returning Visitor,697,0,1,,0,,1,,0,
20200829,Returning Visitor,53,1,1,,0,,1,,0,
20200828,Returning Visitor,9,22,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200822,Returning Visitor,5,63,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200812,Returning Visitor,7,9,1,,0,,1,,0,
20200831,Returning Visitor,28,21,1,,0,,1,,0,
20200825,Returning Visitor,5,10,1,,0,,1,,0,
20200817,Returning Visitor,3,123,1,,0,,1,,0,
20200826,Returning Visitor,23,3,1,,0,,1,,0,
20200826,Returning Visitor,158,1,1,,0,,1,,0,
20200823,Returning Visitor,13,23,1,,0,,1,,0,
20200818,Returning Visitor,15,7,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,34,1,1,,0,,1,,0,
20200825,Returning Visitor,735,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200824,Returning Visitor,13,3,1,,0,,1,,0,
20200811,Returning Visitor,86,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200828,Returning Visitor,6,14,1,,0,,1,,0,
20200818,Returning Visitor,369,0,1,,0,,1,,0,
20200829,Returning Visitor,34,0,1,,0,,1,,0,
20200824,Returning Visitor,225,0,1,,0,,1,,0,
20200818,Returning Visitor,334,3,1,,0,,1,,0,
20200809,Returning Visitor,3,36,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200813,Returning Visitor,19,8,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,251,2,1,,0,,1,,0,
20200811,Returning Visitor,40,6,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200821,Returning Visitor,23,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200804,Returning Visitor,7,11,1,,0,,1,,0,
20200822,Returning Visitor,36,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200804,Returning Visitor,195,0,1,,0,,1,,0,
20200829,Returning Visitor,143,0,1,,0,,1,,0,
20200806,Returning Visitor,245,0,1,,0,,1,,0,
20200821,Returning Visitor,5,15,1,,0,,1,,0,
20200817,Returning Visitor,2,134,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200819,Returning Visitor,191,0,1,,0,,1,,0,
20200827,Returning Visitor,116,0,1,,0,,1,,0,
20200822,Returning Visitor,15,30,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200810,Returning Visitor,5,24,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200824,Returning Visitor,181,0,1,,0,,1,,0,
20200807,Returning Visitor,6,64,1,,0,,1,,0,
20200819,Returning Visitor,38,8,1,,0,,1,,0,
20200822,Returning Visitor,9,7,1,,0,,1,,0,
20200811,Returning Visitor,12,61,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200830,Returning Visitor,2,35,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200825,Returning Visitor,649,0,1,,0,,1,,0,
20200820,Returning Visitor,137,0,1,,0,,1,,0,
20200819,Returning Visitor,3,59,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200817,Returning Visitor,3,35,1,,0,,1,,0,
20200823,Returning Visitor,3,58,1,,0,,1,,0,
20200827,Returning Visitor,20,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200826,Returning Visitor,2,26,1,,0,,1,,0,
20200818,Returning Visitor,309,0,1,,0,,1,,0,
20200816,Returning Visitor,2,80,1,,0,,1,,0,
20200825,Returning Visitor,18,0,1,,0,,1,,0,
20200826,Returning Visitor,282,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200831,Returning Visitor,346,0,1,,0,,1,,0,
20200811,Returning Visitor,2,122,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,3,126,1,,0,,1,,0,
20200810,Returning Visitor,11,13,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200818,Returning Visitor,51,4,1,,0,,1,,0,
20200806,Returning Visitor,8,68,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200824,Returning Visitor,160,2,1,,0,,1,,0,
20200810,Returning Visitor,9,37,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200809,Returning Visitor,7,64,1,,0,,1,,0,
20200811,Returning Visitor,34,18,1,,0,,1,,0,
20200824,Returning Visitor,17,4,1,,0,,1,,0,
20200827,Returning Visitor,35,1,1,,0,,1,,0,
20200815,Returning Visitor,5,67,1,,0,,1,,0,
20200829,Returning Visitor,189,0,1,,0,,1,,0,
20200805,Returning Visitor,24,19,1,,0,,1,,0,
20200819,Returning Visitor,266,0,1,,0,,1,,0,
20200823,Returning Visitor,3,11,1,,0,,1,,0,
20200811,Returning Visitor,8,2,1,,0,,1,,0,
20200824,Returning Visitor,5,61,1,,0,,1,,0,
20200813,Returning Visitor,109,0,1,,0,,1,,0,
20200821,Returning Visitor,8,8,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200806,Returning Visitor,184,0,1,,0,,1,,0,
20200824,Returning Visitor,52,2,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200818,Returning Visitor,5,16,1,,0,,1,,0,
20200820,Returning Visitor,7,5,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200818,Returning Visitor,6,60,1,,0,,1,,0,
20200827,Returning Visitor,44,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200828,Returning Visitor,3,60,1,,0,,1,,0,
20200822,Returning Visitor,20,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200813,Returning Visitor,58,3,1,,0,,1,,0,
20200818,Returning Visitor,35,4,1,,0,,1,,0,
20200819,Returning Visitor,127,4,1,,0,,1,,0,
20200820,Returning Visitor,277,0,1,,0,,1,,0,
20200818,Returning Visitor,2,40,1,,0,,1,,0,
20200817,Returning Visitor,95,0,1,,0,,1,,0,
20200830,Returning Visitor,11,3,1,,0,,1,,0,
20200825,Returning Visitor,14,55,1,,0,,1,,0,
20200822,Returning Visitor,383,0,1,,0,,1,,0,
20200819,Returning Visitor,196,0,1,,0,,1,,0,
20200825,Returning Visitor,2,98,1,,0,,1,,0,
20200805,Returning Visitor,149,3,1,,0,,1,,0,
20200820,Returning Visitor,240,0,1,,0,,1,,0,
20200815,Returning Visitor,4,14,1,,0,,1,,0,
20200811,Returning Visitor,125,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200808,Returning Visitor,29,7,1,,0,,1,,0,
20200828,Returning Visitor,16,6,1,,0,,1,,0,
20200818,Returning Visitor,129,6,1,,0,,1,,0,
20200827,Returning Visitor,3,42,1,,0,,1,,0,
20200806,Returning Visitor,3,11,1,,0,,1,,0,
20200826,Returning Visitor,8,4,1,,0,,1,,0,
20200826,Returning Visitor,141,0,1,,0,,1,,0,
20200810,Returning Visitor,4,22,1,,0,,1,,0,
20200823,Returning Visitor,11,8,1,,0,,1,,0,
20200816,Returning Visitor,3,88,1,,0,,1,,0,
20200811,Returning Visitor,32,12,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200815,Returning Visitor,3,27,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,8,91,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,11,8,1,,0,,1,,0,
20200822,Returning Visitor,22,4,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200814,Returning Visitor,41,1,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200825,Returning Visitor,7,20,1,,0,,1,,0,
20200826,Returning Visitor,2,77,1,,0,,1,,0,
20200807,Returning Visitor,2,33,1,,0,,1,,0,
20200814,Returning Visitor,305,0,1,,0,,1,,0,
20200828,Returning Visitor,3,45,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200825,Returning Visitor,77,0,1,,0,,1,,0,
20200817,Returning Visitor,4,99,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200813,Returning Visitor,566,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200812,Returning Visitor,2,128,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200808,Returning Visitor,232,0,1,-0.6666666666666666,0,,1,-0.6666666666666666,0,
20200820,Returning Visitor,1120,1,1,,0,,1,,0,
20200818,Returning Visitor,272,2,1,,0,,1,,0,
20200822,Returning Visitor,3,165,1,,0,,1,,0,
20200805,Returning Visitor,18,5,1,,0,,1,,0,
20200828,Returning Visitor,176,0,1,,0,,1,,0,
20200811,Returning Visitor,94,5,1,,0,,1,,0,
20200829,Returning Visitor,3,11,1,,0,,1,,0,
20200828,Returning Visitor,223,0,1,,0,,1,,0,
