Fecha,Página de destino,Resultados,% Δ,Total de búsquedas únicas,% Δ,Número de páginas vistas de resultados,% Δ,Sesiones con búsquedas,% Δ,% de sesiones con búsquedas,% Δ,Búsquedas orgánicas,% Δ,Media de páginas por búsqueda,% Δ,Refinamientos de búsqueda,% Δ,% de refinamientos de búsqueda,% Δ,Tiempo después de búsqueda,% Δ,Salidas,% Δ,Porcentaje de salidas,% Δ,Tasa de conversión de los objetivos de búsquedas en el sitio,% Δ,Valor del objetivo por búsqueda,% Δ
20200804,/ceramica-italia/1996-fortezza-marfil,47,0,0,,0,,0,,0,,4,0,0,,0,,null,,0,,30,0,0.6818181818181818,0,null,,0,
20200804,/ec/Cocinas.php,51,0,0,,0,,0,,0,,2,0,0,,0,,null,,0,,2,0,0.0392156862745098,0,null,,0,
20200804,/ceramica-italia/2968-sanitario-fratelo-mj-blanco,15,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,7,0,1,0,null,,0,
20200804,/paredes-banos?n=200,6,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.16666666666666666,0,null,,0,
20200804,/ceramica-italia/1900-farnese-beige-brillante,12,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,8,0,0.6666666666666666,0,null,,0,
20200804,/ceramica-italia/2017-marmol-cavana-60x60,7,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,4,0,0.5714285714285714,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=savelli&submit_search=,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.5,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=CANNES&submit_search=,5,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.2,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=haban&submit_search=,6,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.25,0,null,,0,
20200804,/cocinas,120,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,34,0,0.2833333333333333,0,null,,0,
20200804,/ceramica-italia/2025-casano-wengue?search_query=Casano&results=6,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/fachaletas-exteriores,20,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,5,0,0.2777777777777778,0,null,,0,
20200804,/pagina-no-ecnontrada,8,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,3,0,0.375,0,null,,0,
20200804,/ceramica-italia/2262-sanitario-granada-marfil,13,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,0.2,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=31.5X31.5&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2068-exterior-turin,7,0,0,,0,,0,,0,,4,0,0,,0,,null,,0,,7,0,1,0,null,,0,
20200804,/ceramica-italia/2017-marmol-cavana-60x60?search_query=cavana&results=1,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=Cerámica+para+pared+6x20&submit_search=,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/vendedores?render_type=sellerproducts&id_seller=45,1,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/ceramica-italia/2937-asterion-30x60,3,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,3,0,1,0,null,,0,
20200804,/salondetendencias/index.php,1,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,1,0,1,0,null,,0,
20200804,/contenido/nuestras-salas,144,0,0,,0,,0,,0,,7,0,0,,0,,null,,0,,15,0,0.10416666666666667,0,null,,0,
20200804,/complementarios,2,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,1,0,null,,0,
20200804,/ceramica-italia/2977-retro-boho-55x55,63,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,34,0,0.5483870967741935,0,null,,0,
20200804,/ceramica-italia/1945-delicatezza-marmol-claro,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.6666666666666666,0,null,,0,
20200804,/ceramica-italia/3166-branzi-oro-25x75,34,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,6,0,0.17647058823529413,0,null,,0,
20200804,/ceramica-italia/1978-san-pietro-beige-brillante,13,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,6,0,0.46153846153846156,0,null,,0,
20200804,/buscar?controller=search&orderby=position&orderway=desc&search_query=macerata&submit_search=,3,0,0,,0,,0,,0,,0,,0,,0,,null,,0,,2,0,0.6666666666666666,0,null,,0,
20200804,/ceramica-italia/2763-triano-acento,20,0,0,,0,,0,,0,,1,0,0,,0,,null,,0,,1,0,0.05555555555555555,0,null,,0,
