Fecha,Red de distribución de anuncios,Tipo de concordancia de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS),day
2020-01-25,Google Search,Phrase match,24,0,11947.0,497791.66666666657,853.3571428571428,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,Friday
2020-01-25,Google Search,Exact match,18,0,417.0,23166.66666666667,208.5,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,Friday
2020-01-26,Google Search,Phrase match,20,0,20308.0,1015400.0,1846.1818181818185,0.55,0.0,0.0,0.0,0.0,0.0,Saturday
2020-01-26,Google Search,Exact match,16,0,16054.0,1003375.0,5351.333333333333,0.1875,0.0,5351.333333333333,5351.333333333333,0.0,0.0,Saturday
2020-01-26,Search partners,Phrase match,1,0,1612.0,1612000.0,1612.0,1.0,0.0,0.0,0.0,0.0,0.0,Saturday
2020-01-27,Google Search,Phrase match,13,0,32374.0,2490307.6923076925,4046.75,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,Sunday
2020-01-27,Search partners,Phrase match,2,0,726.0,363000.0,726.0,0.5,0.0,0.0,0.0,0.0,0.0,Sunday
2020-01-27,Google Search,Exact match,16,0,4095.0,255937.5,819.0,0.3125,0.0,1365.0,1365.0,0.0,0.0,Sunday
2020-01-28,Google Search,Exact match,9,0,5232.0,581333.3333333335,1308.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,Monday
2020-01-28,Google Search,Phrase match,4,0,1118.0,279500.0,559.0,0.5,0.0,0.0,0.0,0.0,0.0,Monday
2020-01-29,Google Search,Exact match,23,0,2087.0,90739.1304347826,417.4,0.21739130434782608,0.0,695.6666666666665,695.6666666666665,0.0,0.0,Tuesday
2020-01-29,Google Search,Phrase match,29,0,42093.0,1451482.7586206896,2215.4210526315787,0.6551724137931034,0.0,0.0,0.0,0.0,0.0,Tuesday
2020-01-01,Google Search,Phrase match,18,0,8712.0,484000.00000000006,1089.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,Tuesday
2020-01-01,Google Search,Exact match,21,0,2499.0,119000.0,624.75,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,Tuesday
2020-01-02,Google Search,Exact match,18,0,3340.0,185555.5555555556,668.0,0.2777777777777778,0.0,1113.3333333333333,1113.3333333333333,0.0,0.0,Wednesday
2020-01-02,Google Search,Phrase match,19,0,47078.0,2477789.4736842103,4279.818181818182,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,Wednesday
2020-01-03,Google Search,Exact match,1,0,603.0,603000.0,603.0,1.0,0.0,0.0,0.0,0.0,0.0,Thursday
2020-01-06,Google Search,Phrase match,30,0,8210.0,273666.66666666674,315.76923076923083,0.8666666666666667,0.0,631.5384615384615,631.5384615384615,0.0,0.0,Sunday
2020-01-06,Search partners,Phrase match,13,0,826.0,63538.461538461524,413.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,Sunday
2020-01-06,Google Search,Exact match,106,0,14510.0,136886.79245283018,230.31746031746042,0.5943396226415094,0.0,362.75,362.75,0.0,0.0,Sunday
2020-01-07,Google Search,Phrase match,167,0,68144.0,408047.9041916168,554.0162601626016,0.7365269461077845,0.0,2523.851851851852,2523.851851851852,0.0,0.0,Monday
2020-01-07,Search partners,Phrase match,30,0,661.0,22033.333333333336,165.25,0.13333333333333333,0.0,220.3333333333333,220.3333333333333,0.0,0.0,Monday
2020-01-07,Google Search,Exact match,481,0,104989.0,218272.34927234927,425.0566801619433,0.5135135135135135,0.0,673.0064102564102,673.0064102564102,0.0,0.0,Monday
2020-01-08,Google Search,Exact match,405,0,75065.0,185345.67901234567,373.4577114427861,0.4962962962962963,0.0,536.1785714285714,536.1785714285714,0.0,0.0,Tuesday
2020-01-08,Search partners,Phrase match,56,0,1065.0,19017.857142857145,266.25,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,Tuesday
2020-01-08,Google Search,Phrase match,131,0,48157.0,367610.6870229007,541.0898876404493,0.6793893129770993,0.0,6019.625,6019.625,0.0,0.0,Tuesday
2020-01-09,Search partners,Exact match,10,0,597.0,59700.0,149.25,0.4,0.0,0.0,0.0,0.0,0.0,Wednesday
2020-01-09,Google Search,Phrase match,211,0,60081.0,284744.0758293839,473.0787401574803,0.6018957345971564,0.0,1306.108695652174,1306.108695652174,0.0,0.0,Wednesday
2020-01-09,Google Search,Exact match,595,0,64382.0,108205.04201680674,241.1310861423221,0.44873949579831934,0.0,337.0785340314136,337.0785340314136,0.0,0.0,Wednesday
2020-01-09,Search partners,Phrase match,71,0,3942.0,55521.12676056338,303.23076923076917,0.18309859154929573,0.0,303.23076923076917,303.23076923076917,0.0,0.0,Wednesday
2020-01-10,Google Search,Phrase match,202,0,63261.0,313173.2673267327,395.38125,0.7920792079207921,0.0,973.246153846154,973.246153846154,0.0,0.0,Thursday
2020-01-10,Google Search,Exact match,640,0,49086.0,76696.875,146.5253731343284,0.5234375,0.0,225.16513761467888,225.16513761467888,0.0,0.0,Thursday
2020-01-10,Search partners,Exact match,9,0,294.0,32666.66666666667,147.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,Thursday
2020-01-10,Search partners,Phrase match,76,0,2847.0,37460.526315789466,406.71428571428567,0.09210526315789473,0.0,569.4,569.4,0.0,0.0,Thursday
2020-01-11,Google Search,Phrase match,180,0,63539.0,352994.44444444444,426.4362416107383,0.8277777777777777,0.0,814.6025641025641,814.6025641025641,0.0,0.0,Friday
2020-01-11,Search partners,Exact match,3,0,568.0,189333.33333333328,568.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,Friday
