Fecha,Dominio del emplazamiento,Tipo de emplazamiento,URL del emplazamiento,Google Ads: grupo de anuncios,Google Ads: espacio publicitario,Anuncios de vídeo TrueView,Usuarios,Sesiones,Duración media de la sesión,Páginas/Sesión,Número de páginas vistas,Porcentaje de rebote
2020-01-16,mobileapp::10002-ca-mb-app-pub-6286023154905236,Automatic placements,mobileapp::10002-ca-mb-app-pub-6286023154905236,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-11,mobileapp::2-com.easybrain.jigsaw.puzzles,Automatic placements,mobileapp::2-com.easybrain.jigsaw.puzzles,Italcombos Segmentacion Display,Google Display Network,No,13,22,0.0,1.0,22,1.0
2020-01-19,mbappgiwwg33nfzvws3thfzrwc3tepfrxe5ltnbvgk3dmpfzwcz3b.com,Automatic placements,mbappgiwwg33nfzvws3thfzrwc3tepfrxe5ltnbvgk3dmpfzwcz3b.com,Consideración de vídeo - Asumimos Iva Monserrate,Google Display Network,Yes,3,3,0.0,1.0,3,1.0
2020-01-26,mobileapp::2-com.qsoft.acr,Automatic placements,mobileapp::2-com.qsoft.acr,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-15,mobileapp::2-com.fancymedia.candysaga,Automatic placements,mobileapp::2-com.fancymedia.candysaga,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-21,mobileapp::2-com.glteamstudio.spidersolitaire,Automatic placements,mobileapp::2-com.glteamstudio.spidersolitaire,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-14,mobileapp::2-com.abi.merge.defense,Automatic placements,mobileapp::2-com.abi.merge.defense,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.lyoomatch.glowpuzzleblock.blockgame,Automatic placements,mobileapp::2-com.lyoomatch.glowpuzzleblock.blockgame,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-12,mobileapp::2-com.lemongame.klondike.solitaire,Automatic placements,mobileapp::2-com.lemongame.klondike.solitaire,Italcombos Segmentacion Display,Google Display Network,No,11,13,165.69230769230768,1.2307692307692308,16,0.8461538461538461
2020-01-30,mobileapp::2-com.pixel.art.coloring.color.number,Automatic placements,mobileapp::2-com.pixel.art.coloring.color.number,Italcombos Segmentacion Display,Google Display Network,No,8,11,0.0,1.0,11,1.0
2020-01-13,mobileapp::1-382233851,Automatic placements,mobileapp::1-382233851,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-10,mobileapp::2-com.fugo.wow,Automatic placements,mobileapp::2-com.fugo.wow,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::1-1489272834,Automatic placements,mobileapp::1-1489272834,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-07,mobileapp::2-com.karmangames.freecell,Automatic placements,mobileapp::2-com.karmangames.freecell,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.6666666666666667,5,0.0
2020-01-29,anonymous.google,Automatic placements,3fd1e0373653489f.anonymous.google,Display Bohemica,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.zomgame.maze,Automatic placements,mobileapp::2-com.zomgame.maze,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-11,mobileapp::2-game.bubble.shooter.dragon.pop,Automatic placements,mobileapp::2-game.bubble.shooter.dragon.pop,Italcombos Segmentacion Display,Google Display Network,No,5,8,4.75,1.625,13,0.625
2020-01-11,mobileapp::2-bubbleshooter.orig,Automatic placements,mobileapp::2-bubbleshooter.orig,Anuncios dinámicos Display,Google Display Network,No,3,3,0.0,1.6666666666666667,5,0.0
